Model,Accuracy
Random Forest,0.8435754189944135
Gradient Boosting,0.8268156424581006
SVM,0.8156424581005587
Logistic Regression,0.8100558659217877
KNN,0.8100558659217877
MLP Neural Net,0.8100558659217877
AdaBoost,0.7988826815642458
Naive Bayes,0.776536312849162
Decision Tree,0.7541899441340782
